lh_normal,lh_long,lh_short,lh_pcos,pg_normal,pg_long,pg_short,pg_pcos
0,0,0,8,0,0,0,0
1,1,1,8,1,1,1,1
0,0,0,10,0,0,0,0
1,3,1,11,1,1,1,1
0,4,2,12,0,0,0,0
1,6,7,10,1,1,1,1
3,8,8,12,1,1,1,1
5,12,13,12,0,0,0,0
10,14,12,13,1,1,1,1
12,16,10,13,1,1,1,1
18,18,4,15,0,0,0,0
16,20,2,16,1,1,1,1
12,22,0,15,1,1,1,1
7,24,1,16,4,4,4,4
4,19,1,15,7,7,7,7
1,16,0,16,9,9,9,9
1,14,1,15,11,11,11,11
0,12,0,14,12,12,12,12
1,9,1,14,13,13,13,13
1,6,1,15,14,14,14,14
0,3,0,16,15,15,15,15
1,0,1,15,15,15,15,15
0,1,0,16,14,14,14,14
0,0,0,15,13,13,13,13
1,1,1,17,11,11,11,11
1,0,1,16,9,9,9,9
0,1,0,14,8,8,8,8
0,1,0,15,4,4,4,4
